id,time_stamp,temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,vibration_peak,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,magnetic_flux_peak,ultra_sound,audible_sound,health_status
1,"2024-06-27 15:42:19",22.8,22.01,-51,73,1023,0,10,0,47,0,0.00496397,46.0834,unhealthy
2,"2024-06-27 15:42:20",22.83,22.01,-51,73,1023,1023,10,0,47,47,0.00827329,41.6464,unhealthy
3,"2024-06-27 15:42:22",22.83,22.01,-53,84,1022,1023,10,0,47,47,0.00248199,52.104,unhealthy
4,"2024-06-27 15:42:23",22.83,22.01,-53,84,1022,1023,10,0,47,47,0.000827329,61.6464,unhealthy
5,"2024-06-27 15:42:23",22.83,22.01,-53,84,1022,1023,10,0,47,47,0.00330932,49.6052,unhealthy
6,"2024-06-27 15:42:24",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.00496397,46.0834,unhealthy
7,"2024-06-27 15:42:25",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.0140646,37.0375,unhealthy
8,"2024-06-27 15:42:26",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.0190286,34.4119,unhealthy
9,"2024-06-27 15:42:27",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.0057913,44.7445,unhealthy
10,"2024-06-27 15:42:28",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.0148919,49.6052,unhealthy
11,"2024-06-27 15:42:29",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.00413665,47.667,unhealthy
12,"2024-06-27 15:42:31",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.00248199,52.104,unhealthy
13,"2024-06-27 15:42:32",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.0182012,34.798,unhealthy
14,"2024-06-27 15:42:33",22.83,22.04,-52,89,1010,1023,10,0,47,47,0.00413665,47.667,unhealthy
15,"2024-06-27 15:42:34",22.83,22.04,-52,89,1010,1023,10,0,47,47,0.000827329,61.6464,unhealthy
16,"2024-06-27 15:42:35",22.83,22.04,-52,89,1010,1023,10,0,47,47,0.0173739,33.0192,unhealthy
17,"2024-06-27 15:42:36",22.83,22.01,-52,89,1010,1023,10,0,47,47,0.0173739,35.202,unhealthy
